,report_date,borough,individuals
420,2019-11-30,Brooklyn,15690
421,2022-03-31,Unknown,354
422,2022-10-31,Staten Island,817
426,2021-05-31,Manhattan,8785
427,2023-09-30,Unknown,563
428,2022-07-31,Queens,5948
429,2019-07-31,Outside NYC,3643
430,2019-10-31,Manhattan,9147
431,2021-01-31,Staten Island,945
432,2021-11-30,Manhattan,8355
433,2022-12-31,Brooklyn,12687
436,2023-10-31,Outside NYC,28518
437,2020-06-30,Staten Island,1051
438,2020-02-29,Outside NYC,3660
439,2021-09-30,Queens,6153
441,2023-02-28,Outside NYC,20711
442,2020-06-30,Unknown,437
443,2020-06-30,Brooklyn,14231
444,2023-03-31,Manhattan,12068
445,2019-12-31,Staten Island,1279
446,2021-06-30,Outside NYC,3242
447,2021-09-30,Brooklyn,11387
448,2023-02-28,Manhattan,11573
449,2019-05-31,Staten Island,1220
450,2023-10-31,Bronx,19396
452,2020-05-31,Unknown,436
453,2023-07-31,Outside NYC,27804
454,2022-11-30,Bronx,17021
455,2020-11-30,Outside NYC,3346
456,2022-08-31,Queens,6272
457,2023-11-30,Unknown,565
458,2020-06-30,Bronx,19201
460,2019-06-30,Unknown,442
462,2023-03-31,Staten Island,797
463,2020-12-31,Bronx,18530
465,2020-08-31,Brooklyn,13877
466,2020-09-30,Brooklyn,13610
467,2020-10-31,Brooklyn,13537
468,2019-04-30,Queens,8338
471,2019-03-31,Bronx,21213
473,2021-02-28,Bronx,18090
474,2021-05-31,Outside NYC,3259
475,2021-12-31,Queens,5820
476,2022-02-28,Queens,5976
477,2022-09-30,Unknown,390
478,2022-04-30,Staten Island,730
482,2023-06-30,Staten Island,864
483,2020-04-30,Outside NYC,3575
484,2020-04-30,Unknown,437
485,2021-09-30,Outside NYC,3254
486,2023-09-30,Brooklyn,14337
487,2022-02-28,Staten Island,731
488,2020-12-31,Outside NYC,3341
489,2023-05-31,Bronx,17724
490,2022-09-30,Bronx,16865
491,2021-10-31,Bronx,15663
492,2020-06-30,Manhattan,9265
494,2022-09-30,Outside NYC,12708
496,2022-08-31,Brooklyn,11712
497,2022-11-30,Queens,6651
500,2022-08-31,Outside NYC,8742
501,2021-03-31,Queens,6940
502,2022-03-31,Staten Island,758
504,2020-03-31,Manhattan,9333
505,2022-11-30,Staten Island,831
507,2019-10-31,Bronx,21031
508,2022-04-30,Brooklyn,11123
509,2019-04-30,Bronx,20479
510,2022-01-31,Brooklyn,11085
511,2022-04-30,Queens,5905
512,2019-09-30,Queens,8502
514,2022-02-28,Bronx,15338
516,2022-07-31,Brooklyn,11535
517,2023-08-31,Staten Island,1002
518,2021-05-31,Bronx,16616
519,2020-09-30,Outside NYC,3400
522,2019-01-31,Bronx,21539
523,2021-07-31,Staten Island,736
524,2022-08-31,Bronx,16174
525,2019-05-31,Queens,8185
527,2023-01-31,Outside NYC,20599
528,2023-02-28,Staten Island,772
530,2022-01-31,Bronx,15399
533,2021-08-31,Unknown,260
534,2021-12-31,Manhattan,8197
535,2020-09-30,Bronx,18993
536,2019-12-31,Manhattan,9178
537,2019-10-31,Brooklyn,15789
538,2023-04-30,Queens,7415
540,2019-03-31,Staten Island,1271
542,2023-11-30,Manhattan,16124
543,2022-01-31,Queens,5899
544,2022-12-31,Manhattan,10667
547,2021-01-31,Manhattan,9364
548,2019-06-30,Staten Island,1230
550,2019-09-30,Staten Island,1295
551,2020-11-30,Bronx,18735
553,2021-01-31,Unknown,400
554,2023-03-31,Unknown,753
555,2020-08-31,Unknown,426
556,2023-08-31,Manhattan,13358
558,2023-07-31,Manhattan,13020
